Compound,Gradient,Abundance A,Abundance B
"p-Toluenesulfonamide, alpha-(purin-6-ylamino)-",-0.05,0.05,0
1-Undecanol,-0.05,0.05,0
"Hexadecane, 1,1-bis(dodecyloxy)-",-0.05,0.05,0
"Dodecane, 2,7,10-trimethyl-",-0.05,0.33,0.28
"Limonen-6-ol, pivalate",-0.05,0.05,0
"8-Hydroxy-2,2,8-trimethyldeca-5,9-dien-3-one",-0.05,0.05,0
"9-Octadecen-12-ynoic acid, methyl ester",-0.05,0.05,0
"Octadecane, 1,1""-[1,3-propanediylbis(oxy)]bis-",-0.05,0.05,0
"Strychane, 1-acetyl-20Ã -hydroxy-16-methylene-",-0.05,0.05,0
"Heptane, 4-propyl-",-0.05,0.05,0
"Heptane, 3-ethyl-2-methyl-",-0.05,0.05,0
"Eicosane, 7-hexyl-",-0.05,0.05,0
Ã -Methylstyrene,-0.05,0.05,0
"Azetidine, 3-methyl-3-phenyl-",-0.05,0.05,0
"(3H)Indazole, 3,3-dimethyl-",-0.05,0.05,0
"9-Octadecene, 1-[2-(octadecyloxy)ethoxy]-",-0.05,0.05,0
"Eicosanoic acid, 9-octadecenyl ester, (Z)-",-0.05,0.05,0
"3-Hexanol, 4,4-dimethyl-",-0.05,0.05,0
2-Heptanone,-0.05,0.05,0
"2-Hexanone, 4-methyl-",-0.05,0.05,0
"2-Hexanone, 5-methyl-",-0.05,0.05,0
"2H-Pyran-2-one, tetrahydro-5,6-dimethyl-, trans-",-0.05,0.05,0
"Hydroperoxide, hexyl",-0.05,0.05,0
"Malonic acid, 4-methylpent-2-yl octadecyl ester",-0.05,0.05,0
"Malonic acid, heptadecyl 4-methylpent-2-yl ester",-0.05,0.05,0
"Cyclopropane, 1,1-diethyl-",-0.06,0.06,0
"2,3-Pentanedione, 4-methyl-",-0.06,0.06,0
"3-Hexanone, 2-methyl-",-0.06,0.06,0
"3-Pentanone, 2,4-dimethyl-",-0.06,0.06,0
Pent-2-ynal,-0.06,0.06,0
Neoisolongifolene-8-ol,-0.06,0.06,0
"Undecane, 3,5-dimethyl-",-0.06,0.06,0
"Bicyclo[2.2.1]heptane-2,3-diol, 1,7,7-trimethyl-, (endo,endo)-",-0.06,0.06,0
"Bicyclo[2.2.1]heptane-2,3-diol, 1,7,7-trimethyl-, (exo,exo)-",-0.06,0.06,0
"Bicyclo[2.2.1]heptane-2,5-diol, 1,7,7-trimethyl-, (2-endo,5-exo)-",-0.06,0.06,0
"Undecane, 3-methylene-",-0.07,0.07,0
"Propanoic acid, 2-methyl-, 2-ethylhexyl ester",-0.07,0.07,0
"5,9-Dodecadien-2-one, 6,10-dimethyl-, (E,E))-",-0.07,0.07,0
"2-Butanone, 4-hydroxy-3-(hydroxymethyl)-3-methyl-",-0.07,0.07,0
"2-Propen-1-ol, 2-methyl-, acetate",-0.07,0.07,0
"2-Propenoic acid, 2-methyl-, ethenyl ester",-0.07,0.07,0
"2-Furanone, 2,5-dihydro-3,5-dimethyl",-0.07,0.07,0
3-Penten-2-one,-0.07,0.07,0
"Hexadecane, 7-methyl-",-0.07,0.07,0
"Formaldehyde, (triphenylphosphoranylidene)hydrazone",-0.07,0.07,0
"Butylaldehyde, 4-benzyloxy-4-[2,2,-dimethyl-4-dioxolanyl]-",-0.07,0.07,0
Triphenylphosphine oxide,-0.07,0.07,0
"Oxalic acid, 2-ethylhexyl hexyl ester",-0.07,0.07,0
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-",-0.07,0.2,0.12
"1,1,3-Trichlorotrifluoroacetone",-0.07,0.2,0.12
"2-Heptene, 3-methyl-",-0.07,0.07,0
"Heptane, 3-methylene-",-0.07,0.07,0
"Hexane, 2-methyl-4-methylene-",-0.07,0.07,0
"(1R,2R,3R,5S)-(-)-Isopinocampheol",-0.07,0.07,0
"Bicyclo[3.1.1]heptan-3-ol, 2,6,6-trimethyl-",-0.07,0.07,0
"Bicyclo[3.1.1]heptan-3-ol, 2,6,6-trimethyl-, (1Ã ,2Ã¡,3Ã ,5",-0.07,0.07,0
"Dichloroacetic acid, 4-methylpentyl ester",-0.07,0.07,0
"Heptane, 2,3-dimethyl-",-0.07,0.07,0
"Naphthalene, 1-(2-hydroxypropyl)",-0.07,0.07,0
"2-Thiophenecarboxylic acid, 5-nonyl-",-0.07,0.07,0
Undecane,-0.08,0.29,0.22
"Bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene",-0.08,0.08,0
Benzocycloheptatriene,-0.08,0.08,0
"Naphthalene, 2-methyl-",-0.08,0.08,0
cis-2-Nonene,-0.08,0.08,0
"3-Undecene, 4-methyl-",-0.08,0.08,0
"1,2-Ethanediamine, N-(phenylmethyl)-",-0.08,0.08,0
1-Octene,-0.08,0.08,0
2-Octene,-0.08,0.08,0
Cyclopentane,-0.08,0.08,0
"Cyclobutane, methyl-",-0.08,0.08,0
"2,3-Dihydrofuran",-0.08,0.08,0
"2-Furanmethanediol, dipropionate",-0.09,0.09,0
3-Furaldehyde,-0.09,0.09,0
Furfural,-0.09,0.09,0
"Heptane, 3,3,4-trimethyl-",-0.09,0.09,0
"Nonane, 5-butyl-",-0.09,0.09,0
"Nonane, 4-methyl-",-0.09,0.22,0.14
"Cyclohexene, 4-(1,1-dimethylethyl)-",-0.09,0.09,0
"7-Heptadecyne, 1-chloro-",-0.09,0.09,0
"2-Butyloxycarbonyloxy-1,1,10-trimethyl-6,9-epidioxydec",-0.09,0.09,0
"Sulfurous acid, 2-ethylhexyl isobutyl ester",-0.09,0.09,0
"Pentane, 2,2,3,3-tetramethyl-",-0.09,0.09,0
"1,3,7-Octatriene, 3,7-dimethyl-",-0.09,0.09,0
"10-Heneicosene, 11-phenyl-",-0.09,0.09,0
"4,4,6-Trimethyl-6-phenyltetrahydro-1,3-oxazine-2-thione",-0.09,0.09,0
"Naphthalene, 1,2,3,4-tetrahydro-6-methyl-",-0.09,0.09,0
"Hexane, 1-propoxy-",-0.1,0.1,0
"1-Pentanol, 2,4-dimethyl-, (Ã±)-",-0.1,0.1,0
"3,5-Dimethyl-1,6-heptadien-4-ol",-0.1,0.1,0
"2-Pentene, 4,4-dimethyl-, (E)-",-0.1,0.1,0
"2-Pentene, 2,4-dimethyl-",-0.1,0.1,0
"Cyclopropane, 1,1,2,2-tetramethyl-",-0.1,0.1,0
"Butane, 2-chloro-3-methyl-",-0.1,0.1,0
"Butanal, 3-methyl-",-0.1,0.1,0
"2-Butanamine, (S)-",-0.1,0.1,0
Pentanal,-0.1,0.1,0
"Decane, 3,4-dimethyl-",-0.11,0.11,0
"2,6-Octadien-1-ol, 2,7-dimethyl-",-0.11,0.11,0
"2-Methyl-1,5-heptadien-4-ol",-0.11,0.11,0
"Bicyclo[3.1.1]hept-3-ene, 4,6,6-trimethyl-2-vinyloxy-",-0.11,0.11,0
"Butane, 2,2,3-trimethyl-",-0.11,0.11,0
"Pentane, 2,2-dimethyl-",-0.11,0.11,0
"Carbamic acid, (cyanomethyl)-, 1,1-dimethylethyl ester",-0.11,0.11,0
"2,4-Dimethyl-4-penten-2-ol",-0.11,0.11,0
"1-Undecene, 4-methyl-",-0.12,0.12,0
"Undecane, 3,4-dimethyl-",-0.12,0.12,0
"Undecane, 3,6-dimethyl-",-0.13,0.13,0
1-Butanol,-0.13,0.13,0
"Oxirane, (1-methylethyl)-",-0.13,0.13,0
"Oxetane, 2,3,4-trimethyl-, (2Ã ,3Ã ,4Ã¡)-",-0.13,0.13,0
"1,5-Hexadien-3-yne",-0.13,0.54,0.4
"1,3-Hexadien-5-yne",-0.13,0.54,0.4
Benzene,-0.13,0.54,0.4
"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-, (1R)-",-0.13,0.13,0
"Carbonic acid, isobutyl nonyl ester",-0.13,0.13,0
"1-Heptanol, 2-propyl-",-0.13,0.13,0
"N,N-Diethyl-2-(4-chlorophenyl)-3-morpholino- thioacrylamide-",0.14,0.14,0
Methyl octyl ether,-0.14,0.14,0
"1-Decene, 4-methyl-",-0.14,0.14,0
"Octane, 3-methyl-",-0.14,0.14,0
"Decane, 2,6,8-trimethyl-",-0.14,0.29,0.15
"Nonane, 2,3-dimethyl-",-0.15,0.15,0
trans-2-Undecen-1-ol,-0.15,0.15,0
"Pentanoic acid, heptyl ester",-0.15,0.15,0
"2,2-Dimethylpropionic acid, decyl ester",-0.15,0.15,0
"2,2-Dimethylpropionic acid, undec-10-enyl ester",-0.15,0.15,0
"Eicosane, 2-cyclohexyl-",-0.16,0.16,0
Eucalyptol,-0.16,0.16,0
"Undecane, 2-cyclohexyl-",-0.16,0.16,0
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-",-0.17,0.17,0
"1,4-Cyclohexadiene, 1-methyl-4-(1-methylethyl)-",-0.17,0.17,0
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, acetate",-0.17,0.17,0
"Methane, bromodichlorofluoro-",-0.17,0.41,0.24
Trichloromonofluoromethane,-0.17,0.41,0.24
"Decane, 2,3,5,8-tetramethyl-",-0.18,0.33,0.15
"Hexane, 2-methyl-",-0.18,0.31,0.13
"Methane, dichloronitro-",-0.18,0.18,0
"Methane, oxybis[dichloro-",-0.18,0.18,0
Trichloromethane,-0.18,0.18,0
"Benzene, 1,2,3-trimethyl-",-0.19,0.19,0
"Hexane, 2,4-dimethyl-",-0.2,0.31,0.11
o-Xylene,-0.2,0.39,0.18
"Heptane, 5-ethyl-2,2,3-trimethyl-",-0.22,0.34,0.12
Benzaldehyde,-0.22,0.36,0.14
"5-Methyl-1,5-hexadien-3-ol",-0.25,0.25,0
"1-Octyn-3-ol, 4-ethyl-",-0.25,0.25,0
"Heptane, 3-bromo-",-0.25,0.25,0
"Benzene, 1-chloro-3-fluoro-",-0.25,0.4,0.15
Bis(chloromethyl) sulfide,-0.25,0.4,0.15
Trichloroethylene,-0.25,0.4,0.15
"Benzene, 1,2,4-trimethyl-",-0.26,0.26,0
"Decane, 2,4-dimethyl-",-0.27,0.39,0.12
2-Nonen-1-ol,-0.27,0.27,0
"2-Nonen-1-ol, (E)-",-0.27,0.27,0
"Heptane, 3,4-dimethyl-",-0.28,0.28,0
"Oxirane, (1,1-dimethylbutyl)-",-0.28,0.28,0
"Cyclopentane, 1,1-dimethyl-",-0.28,0.28,0
"5-Tridecene, (Z)-",-0.28,0.28,0
"Undecane, 5,5-dimethyl-",-0.29,0.29,0
"2-Pentene, 4,4-dimethyl-",-0.31,0.31,0
"1,2-Benzisothiazol-3-amine tbdms",-0.31,0.31,0
"Bicyclo[4.1.0]heptane, 3,7,7-trimethyl-, (1Ã ,3Ã ,6Ã )-",-0.31,0.31,0
"Bicyclo[4.1.0]heptane, 3,7,7-trimethyl-, [1S-(1Ã ,3Ã¡,6Ã )",-0.31,0.31,0
"4-Pentenal, 2-ethyl-",-0.33,0.33,0
"1,2,4-Trioxolane, 3-phenyl-",-0.36,0.36,0
Phenylglyoxal,-0.36,0.36,0
"Pentane, 2,4-dimethyl-",-0.45,0.57,0.13
"Cyclobutanol, 2-ethyl-",-0.52,0.52,0
(-)-cis-Myrtanol,-0.52,0.52,0
"5-Hepten-1-ol, 2-ethenyl-6-methyl-",-0.52,0.52,0
"Bicyclo[3.1.1]heptane-2-methanol, 6,6-dimethyl-, [1S-(1Ã",-0.52,0.52,0
"Octane, 3,4-dimethyl-",-0.57,0.57,0
"Pentane, 2,2,4-trimethyl-",-0.61,0.61,0
"Octane, 3-ethyl-2,7-dimethyl-",-0.66,0.84,0.18
"Nonane, 3-methyl-",-0.67,0.8,0.13
"2-Pentanone, 3-methyl-",-0.71,0.71,0
"Pentane, 3-ethyl-2,2-dimethyl-",-0.72,0.72,0
"Benzene, 2-ethenyl-1,4-dimethyl-",-0.93,0.93,0
Butane,-1.05,1.72,0.67
"1,4-Pentadiene",-1.51,1.51,0
Isobutane,-1.72,1.72,0
Cyclobutylamine,-1.72,1.72,0
Isopropyl Alcohol,-21.35,24.49,3.14
4-Penten-2-ol,-21.35,24.49,3.14
4-Amino-1-butanol,-24.49,24.49,0
