Compound,Gradient,Abundance A,Abundance B
"Benzene, 1,3-dimethyl-",0.52,0.15,0.66
"1-Dodecanol, 3,7,11-trimethyl-",0.51,0,0.51
"2,3,5,6-Tetramethylterephthalaldehyde",0.51,0,0.51
"Benzene, 1-(1-ethylpropyl)-4-propyl-",0.51,0,0.51
"4,5,6,7-Tetramethylphthalide",0.51,0,0.51
"Dodecane, 4,6-dimethyl-",0.5,0,0.5
Ethyl L-menthyl carbonate,0.49,0,0.49
"Cyclohexanol, 5-methyl-2-(1-methylethyl)-, (1Ã ,2Ã¡,5Ã )-",0.49,0,0.49
"Decane, 2,3,7-trimethyl-",0.48,0,0.48
"Decane, 3,7-dimethyl-",0.44,0.31,0.75
"Cyclohexane, methyl-",0.43,0.31,0.74
Cycloheptane,0.43,0.31,0.74
"Octane, 2,5,6-trimethyl-",0.43,0.13,0.55
"Undecane, 2,3-dimethyl-",0.42,0,0.42
"Nonane, 5-methyl-5-propyl-",0.42,0.29,0.71
"Hexane, 4-ethyl-2-methyl-",0.42,0,0.42
"Cyclohexane, 1,3-dimethyl-, cis-",0.41,0,0.41
"Cyclohexane, 1,3-dimethyl-, trans-",0.41,0,0.41
"1,3-Dimethylcyclohexane,c&t",0.41,0,0.41
"Acetic acid, anhydride with formic acid",0.38,0,0.38
Acetic acid,0.38,0,0.38
Propanedioic acid,0.38,0,0.38
1-Octen-3-ol,0.38,0,0.38
"Hexanal, 2-ethyl-",0.38,0,0.38
"Heptane, 2-methyl-",0.38,0.04,0.42
"Undecane, 2-methyl-",0.37,0,0.37
"Cyclohexane, 1-methylene-4-(1-methylethenyl)-",0.36,0,0.36
"Octane, 2,3,3-trimethyl-",0.35,0.07,0.42
"Nonane, 3-methyl-5-propyl-",0.34,0.08,0.42
"Pentane, 2-bromo-",0.34,0.32,0.66
Octanal,0.34,0.1,0.44
2-Octen-1-ol,0.34,0.1,0.44
"2-Octen-1-ol, (E)-",0.34,0.1,0.44
"Heptane, 2,3,6-trimethyl-",0.34,0.22,0.56
"Octane, 3-ethyl-",0.34,0,0.34
"Oxalic acid, bis(2-ethylhexyl) ester",0.34,0,0.34
Tetradecane,0.33,0.05,0.38
"Hexane, 2,5-dimethyl-",0.33,0.09,0.42
"Nonane, 2-methyl-",0.31,0,0.31
"Hexadecane, 2,6,11,15-tetramethyl-",0.31,0,0.31
"Heptane, 2,2,3,3,5,6,6-heptamethyl-",0.31,0,0.31
"Ethanol, 2-butoxy-, benzoate",0.31,0,0.31
"4,4-Dipropylheptane",0.31,0,0.31
"Octane, 2,4,6-trimethyl-",0.31,0.13,0.43
Octane,0.3,0.11,0.41
"Heptane, 2,4-dimethyl-",0.3,0.11,0.41
"Pentadecane, 2,6,10-trimethyl-",0.29,0,0.29
"Sulfurous acid, 2-ethylhexyl pentadecyl ester",0.29,0,0.29
